Date,Open,High,Low,Close,AdjustedClose,Volume
2018-03-29,83.905,85.875,83.45,83.89,80.459,307188000
2018-04-02,83.32,84.47,82.235,83.34,79.931,300694400
2018-04-03,83.82,84.375,82.44,84.195,80.751,242224000
2018-04-04,82.44,86.005,82.385,85.805,82.295,276844000
2018-04-05,86.29,87.115,86.04,86.4,82.866,215465600
2018-04-06,85.485,86.24,84.1,84.19,80.746,280042400
2018-04-09,84.94,86.545,84.925,85.025,81.547,232141600
2018-04-10,86.5,87.0,85.765,86.625,83.082,227268800
2018-04-11,86.115,86.96,85.85,86.22,82.693,179452800
2018-04-12,86.705,87.5,86.52,87.07,83.508,183114400
2018-04-13,87.39,87.92,86.925,87.365,83.791,200994400
2018-04-16,87.515,88.095,87.415,87.91,84.314,172627200
2018-04-17,88.245,89.47,88.205,89.12,85.475,212843200
2018-04-18,88.905,89.41,88.44,88.92,85.283,166036000
2018-04-19,86.88,87.695,86.33,86.4,82.866,278470400
2018-04-20,85.3,85.61,82.715,82.86,79.471,523928800
2018-04-23,83.415,83.46,82.045,82.62,79.241,292124000
2018-04-24,82.835,83.165,80.61,81.47,78.138,269536000
2018-04-25,81.31,82.71,81.205,81.825,78.478,227056800
2018-04-26,82.06,82.865,81.685,82.11,78.751,223704000
2018-04-27,82.0,82.165,80.315,81.16,77.84,285246400
2018-04-30,81.065,83.63,80.92,82.63,79.25,339419200
2018-05-01,83.205,84.6,82.635,84.55,81.092,428555200
2018-05-02,87.615,88.875,86.9,88.285,84.674,532315200
2018-05-03,87.94,88.75,87.22,88.445,84.827,272545600
2018-05-04,89.125,92.125,89.085,91.915,88.155,449610400
2018-05-07,92.59,93.835,92.375,92.58,88.793,339611200
2018-05-08,92.495,93.11,91.835,93.025,89.22,227222400
2018-05-09,93.275,93.7,92.61,93.68,89.848,185689600
2018-05-10,93.87,95.185,93.825,95.02,91.133,223914400
2018-05-11,94.745,95.03,93.725,94.295,90.787,209697600
2018-05-14,94.505,94.765,93.93,94.075,90.575,166230400
2018-05-15,93.39,93.535,92.55,93.22,89.752,189561600
2018-05-16,93.035,94.23,93.0,94.09,90.589,153464800
2018-05-17,94.0,94.455,93.18,93.495,90.016,138352000
2018-05-18,93.595,93.905,93.065,93.155,89.689,146381600
2018-05-21,94.0,94.635,93.455,93.815,90.325,147206400
2018-05-22,94.19,94.44,93.39,93.58,90.098,121925600
2018-05-23,93.175,94.25,92.88,94.18,90.676,160467200
2018-05-24,94.385,94.42,93.105,94.075,90.575,185872000
2018-05-25,94.115,94.825,93.825,94.29,90.782,139688000
2018-05-29,93.8,94.375,93.435,93.95,90.455,180112800
